"Coefficient","mean","sd","median","95% CI","species"
"beta.lakes",-0.74,5.1,-0.57,"-11 - 8.5","Black-bellied Whistling-Duck"
"beta.lakes_sq",-1.6,5.1,-1.7,"-12 - 8.6","Black-bellied Whistling-Duck"
"beta.max_temperature",17,7.4,17,"3.5 - 32","Black-bellied Whistling-Duck"
"beta.max_temperature_sq",-17,6.9,-17,"-32 - -4.6","Black-bellied Whistling-Duck"
"beta.mixed_forest",0.87,6.1,1.1,"-12 - 12","Black-bellied Whistling-Duck"
"beta.mixed_forest_sq",-15,6.4,-15,"-28 - -3.3","Black-bellied Whistling-Duck"
"beta.number_observers",0.092,0.12,0.098,"-0.16 - 0.31","Black-bellied Whistling-Duck"
"beta.ocean",-4.9,6.5,-4.7,"-18 - 7.3","Black-bellied Whistling-Duck"
"beta.ocean_sq",-6.9,6.8,-6.4,"-22 - 4.6","Black-bellied Whistling-Duck"
"beta.pasture_hay",15,5.3,15,"4.9 - 26","Black-bellied Whistling-Duck"
"beta.pasture_hay_sq",-14,4.5,-14,"-23 - -5.7","Black-bellied Whistling-Duck"
"beta.precipitation",-5.4,6.6,-5.4,"-19 - 7.5","Black-bellied Whistling-Duck"
"beta.precipitation_sq",3.5,5.2,3.6,"-6.7 - 14","Black-bellied Whistling-Duck"
"beta.rivers",9.9,6.9,11,"-8.3 - 21","Black-bellied Whistling-Duck"
"beta.rivers_sq",8.2,5.7,7.8,"-1.3 - 21","Black-bellied Whistling-Duck"
"beta.shrub_scrub",-2.4,6.6,-2.2,"-16 - 10","Black-bellied Whistling-Duck"
"beta.shrub_scrub_sq",-0.29,4.9,-0.22,"-10 - 9","Black-bellied Whistling-Duck"
"beta.slope",7.3,6,7.3,"-4.2 - 19","Black-bellied Whistling-Duck"
"beta.slope_sq",5.2,7.8,6.6,"-13 - 18","Black-bellied Whistling-Duck"
"beta.time_of_day",0.055,0.1,0.056,"-0.15 - 0.26","Black-bellied Whistling-Duck"
"beta.woody_wetland",-2.6,6.8,-2.4,"-16 - 10","Black-bellied Whistling-Duck"
"beta.woody_wetland_sq",7.5,3.8,7.5,"0.083 - 15","Black-bellied Whistling-Duck"
"beta.0",-4.6,0.13,-4.6,"-4.8 - -4.3","Black-billed Cuckoo"
"beta.aspect",7.6,10,7.7,"-13 - 27","Black-billed Cuckoo"
"beta.aspect_sq",-1.5,7.9,-1.4,"-18 - 13","Black-billed Cuckoo"
"beta.barren_land",-5.6,7.9,-5.1,"-22 - 8.5","Black-billed Cuckoo"
"beta.barren_land_sq",1.3,7.5,1.3,"-14 - 16","Black-billed Cuckoo"
"beta.cultivated_crop",6.2,8.3,6.1,"-10 - 22","Black-billed Cuckoo"
"beta.cultivated_crop_sq",-3.9,7.4,-3.8,"-18 - 10","Black-billed Cuckoo"
"beta.deciduous_forest",9.5,8.2,9.5,"-6.9 - 25","Black-billed Cuckoo"
"beta.deciduous_forest_sq",-10,7.4,-10,"-25 - 4.3","Black-billed Cuckoo"
"beta.developed_high_intensity",-13,8.7,-13,"-31 - 3.6","Black-billed Cuckoo"
"beta.developed_high_intensity_sq",7.1,8.2,7.6,"-9.6 - 22","Black-billed Cuckoo"
"beta.developed_low_intensity",-20,8.8,-20,"-37 - -2.3","Black-billed Cuckoo"
"beta.developed_low_intensity_sq",12,8.1,13,"-4.3 - 27","Black-billed Cuckoo"
"beta.effort_hours",-0.019,0.1,-0.014,"-0.23 - 0.17","Black-billed Cuckoo"
"beta.elevation",-6.1,8.1,-6.1,"-22 - 9.4","Black-billed Cuckoo"
"beta.elevation_sq",-9.3,8.1,-9.2,"-25 - 6.3","Black-billed Cuckoo"
"beta.emergent_wetland",7.1,6.1,7.3,"-5.3 - 19","Black-billed Cuckoo"
"beta.emergent_wetland_sq",-2.8,7.5,-1.8,"-19 - 9.8","Black-billed Cuckoo"
"beta.evergreen_forest",-6.7,8,-6.8,"-22 - 8.8","Black-billed Cuckoo"
"beta.evergreen_forest_sq",-11,8.2,-11,"-27 - 5.2","Black-billed Cuckoo"
"beta.grassland_herbaceous",-7.6,8.2,-7.4,"-24 - 7.7","Black-billed Cuckoo"
"beta.grassland_herbaceous_sq",0.7,7.4,0.73,"-14 - 15","Black-billed Cuckoo"
"beta.lakes",-11,11,-11,"-29 - 11","Black-billed Cuckoo"
"beta.lakes_sq",3,7.6,3.2,"-12 - 17","Black-billed Cuckoo"
"beta.max_temperature",-7.6,8.2,-7.5,"-24 - 8.5","Black-billed Cuckoo"
"beta.max_temperature_sq",-13,8,-13,"-28 - 2.7","Black-billed Cuckoo"
"beta.mixed_forest",0.47,8,0.54,"-15 - 16","Black-billed Cuckoo"
"beta.mixed_forest_sq",-11,8,-11,"-26 - 5.7","Black-billed Cuckoo"
"beta.number_observers",0.085,0.096,0.093,"-0.12 - 0.25","Black-billed Cuckoo"
"beta.ocean",-1.1,8.4,-0.95,"-18 - 14","Black-billed Cuckoo"
"beta.ocean_sq",0.83,7.1,1.2,"-14 - 14","Black-billed Cuckoo"
"beta.pasture_hay",-1.4,7.8,-1.5,"-17 - 14","Black-billed Cuckoo"
"beta.pasture_hay_sq",-5,8.1,-4.8,"-21 - 10","Black-billed Cuckoo"
"beta.precipitation",-9.3,7.4,-9.4,"-24 - 5.8","Black-billed Cuckoo"
"beta.precipitation_sq",1.1,7.3,1.1,"-13 - 15","Black-billed Cuckoo"
"beta.rivers",-5.2,8.9,-5,"-23 - 11","Black-billed Cuckoo"
"beta.rivers_sq",2.7,6.5,3,"-11 - 14","Black-billed Cuckoo"
"beta.shrub_scrub",-2.6,7.9,-2.2,"-19 - 12","Black-billed Cuckoo"
"beta.shrub_scrub_sq",-4.3,7.4,-4.1,"-20 - 9.4","Black-billed Cuckoo"
"beta.slope",-1.5,8.9,-1.6,"-19 - 16","Black-billed Cuckoo"
"beta.slope_sq",-4.6,8.9,-4.5,"-22 - 13","Black-billed Cuckoo"
"beta.time_of_day",-0.3,0.096,-0.3,"-0.49 - -0.11","Black-billed Cuckoo"
"beta.woody_wetland",14,7,14,"0.29 - 28","Black-billed Cuckoo"
"beta.woody_wetland_sq",-3.1,6.5,-3,"-16 - 9","Black-billed Cuckoo"
"beta.030",-2.5,0.12,-2.5,"-2.9 - -2.4","Black-billed Magpie"
"beta.aspect30",1,5.9,0.85,"-10 - 13","Black-billed Magpie"
"beta.aspect_sq30",-4.3,5.8,-4.2,"-16 - 6.8","Black-billed Magpie"
"beta.barren_land30",-10,5.7,-10,"-22 - 0.43","Black-billed Magpie"
"beta.barren_land_sq30",1.3,5.6,2,"-11 - 11","Black-billed Magpie"
"beta.cultivated_crop30",11,6.2,12,"-1.9 - 23","Black-billed Magpie"
"beta.cultivated_crop_sq30",-3.5,4.7,-3.1,"-14 - 4.7","Black-billed Magpie"
"beta.deciduous_forest30",3.1,4.2,3.2,"-5.2 - 11","Black-billed Magpie"
"beta.deciduous_forest_sq30",1.4,4.4,1.7,"-8.5 - 9","Black-billed Magpie"
"beta.developed_high_intensity30",-10,6.5,-11,"-22 - 3.2","Black-billed Magpie"
"beta.developed_high_intensity_sq30",-2.5,6.2,-2.2,"-15 - 8.5","Black-billed Magpie"
"beta.developed_low_intensity30",9.9,5.6,10,"-2.3 - 21","Black-billed Magpie"
"beta.developed_low_intensity_sq30",-0.35,3.8,-0.46,"-7.6 - 7.3","Black-billed Magpie"
"beta.effort_hours30",0.21,0.056,0.21,"0.099 - 0.32","Black-billed Magpie"
"beta.elevation30",24,5.6,24,"13 - 35","Black-billed Magpie"
"beta.elevation_sq30",1.2,4.4,1.2,"-7.3 - 10","Black-billed Magpie"
"beta.emergent_wetland30",8.2,4.3,8.8,"-2.7 - 15","Black-billed Magpie"
"beta.emergent_wetland_sq30",-2.5,3.4,-2.4,"-9.7 - 4","Black-billed Magpie"
"beta.evergreen_forest30",-21,5.7,-21,"-32 - -9.3","Black-billed Magpie"
"beta.evergreen_forest_sq30",-0.67,4.2,-0.66,"-9 - 7.5","Black-billed Magpie"
"beta.grassland_herbaceous30",3.9,5.3,4,"-6.7 - 14","Black-billed Magpie"
"beta.grassland_herbaceous_sq30",-4.8,4.6,-4.7,"-14 - 4","Black-billed Magpie"
"beta.lakes30",-5.2,7.3,-5.1,"-20 - 8.8","Black-billed Magpie"
"beta.lakes_sq30",5,6.7,4.9,"-8 - 18","Black-billed Magpie"
"beta.max_temperature30",11,5.8,11,"-0.36 - 23","Black-billed Magpie"
"beta.max_temperature_sq30",-20,5,-20,"-30 - -10","Black-billed Magpie"
"beta.mixed_forest30",-7,7.3,-6.7,"-22 - 6.5","Black-billed Magpie"
"beta.mixed_forest_sq30",2,6,2.2,"-11 - 13","Black-billed Magpie"
"beta.number_observers30",-0.11,0.1,-0.11,"-0.32 - 0.076","Black-billed Magpie"
"beta.ocean30",-1.6,7.2,-0.52,"-19 - 10","Black-billed Magpie"
"beta.ocean_sq30",2.8,8.2,1.8,"-12 - 20","Black-billed Magpie"
"beta.pasture_hay30",-0.38,5.5,-0.02,"-12 - 9.2","Black-billed Magpie"
"beta.pasture_hay_sq30",-12,6.2,-11,"-25 - -0.77","Black-billed Magpie"
"beta.precipitation30",-21,6.1,-20,"-33 - -8.6","Black-billed Magpie"
"beta.precipitation_sq30",-8.4,5.6,-8.3,"-20 - 2.7","Black-billed Magpie"
"beta.rivers30",3.8,3.4,4,"-3.3 - 10","Black-billed Magpie"
"beta.rivers_sq30",3.6,5.1,4.2,"-8.1 - 12","Black-billed Magpie"
"beta.shrub_scrub30",0.24,6.1,0.2,"-12 - 12","Black-billed Magpie"
"beta.shrub_scrub_sq30",-9.8,4.6,-9.7,"-19 - -0.86","Black-billed Magpie"
"beta.slope30",20,4.8,20,"11 - 29","Black-billed Magpie"
"beta.slope_sq30",-11,4.2,-11,"-20 - -3.3","Black-billed Magpie"
"beta.time_of_day30",-0.17,0.065,-0.17,"-0.3 - -0.043","Black-billed Magpie"
"beta.woody_wetland30",6.1,6.2,5.9,"-6.9 - 18","Black-billed Magpie"
"beta.woody_wetland_sq30",-2.9,5.7,-3.1,"-14 - 8.6","Black-billed Magpie"
"beta.0",-1.7,0.034,-1.7,"-1.8 - -1.7","Black-capped Chickadee"
"beta.aspect",12,6,13,"-1.1 - 23","Black-capped Chickadee"
"beta.aspect_sq",-1,4.1,-0.88,"-9.3 - 6.7","Black-capped Chickadee"
"beta.barren_land",-18,5.3,-17,"-29 - -8.1","Black-capped Chickadee"
"beta.barren_land_sq",-4.7,4.4,-4.5,"-14 - 3.4","Black-capped Chickadee"
"beta.cultivated_crop",-22,5.3,-22,"-33 - -13","Black-capped Chickadee"
"beta.cultivated_crop_sq",-4.3,6.9,-5.8,"-15 - 8.6","Black-capped Chickadee"
"beta.deciduous_forest",17,4.8,16,"10 - 28","Black-capped Chickadee"
"beta.deciduous_forest_sq",-6,3,-5.8,"-12 - -0.59","Black-capped Chickadee"
"beta.developed_high_intensity",-20,3.7,-19,"-27 - -13","Black-capped Chickadee"
"beta.developed_high_intensity_sq",4.8,3.4,4.8,"-1.9 - 11","Black-capped Chickadee"
"beta.developed_low_intensity",29,4.4,29,"21 - 38","Black-capped Chickadee"
"beta.developed_low_intensity_sq",-5.2,2.8,-5.2,"-11 - 0.17","Black-capped Chickadee"
"beta.effort_hours",0.45,0.025,0.45,"0.4 - 0.5","Black-capped Chickadee"
"beta.elevation",-16,5.9,-16,"-27 - -4","Black-capped Chickadee"
"beta.elevation_sq",-15,4.6,-15,"-24 - -6.2","Black-capped Chickadee"
"beta.emergent_wetland",13,3.3,13,"6 - 19","Black-capped Chickadee"
"beta.emergent_wetland_sq",-14,3.4,-14,"-21 - -7.2","Black-capped Chickadee"
"beta.evergreen_forest",-6,5.8,-6.1,"-17 - 5.6","Black-capped Chickadee"
"beta.evergreen_forest_sq",-22,4.3,-22,"-31 - -14","Black-capped Chickadee"
"beta.grassland_herbaceous",-6.7,6.9,-6.2,"-21 - 5.5","Black-capped Chickadee"
"beta.grassland_herbaceous_sq",-11,5.1,-11,"-21 - -1.7","Black-capped Chickadee"
"beta.lakes",6.7,4.1,6.8,"-1.6 - 14","Black-capped Chickadee"
"beta.lakes_sq",3.7,4,4,"-4.5 - 11","Black-capped Chickadee"
"beta.max_temperature",-25,7.1,-26,"-37 - -9.6","Black-capped Chickadee"
"beta.max_temperature_sq",-28,5.8,-28,"-41 - -18","Black-capped Chickadee"
"beta.mixed_forest",19,4,19,"11 - 26","Black-capped Chickadee"
"beta.mixed_forest_sq",-7.1,3.1,-7.2,"-13 - -0.71","Black-capped Chickadee"
"beta.number_observers",-0.075,0.042,-0.074,"-0.16 - 0.0043","Black-capped Chickadee"
"beta.ocean",10,4.7,10,"0.6 - 19","Black-capped Chickadee"
"beta.ocean_sq",-0.69,3.8,-0.68,"-8.4 - 6.8","Black-capped Chickadee"
"beta.pasture_hay",5,4,5.2,"-3.4 - 13","Black-capped Chickadee"
"beta.pasture_hay_sq",-3.5,4.5,-3.7,"-12 - 5.9","Black-capped Chickadee"
"beta.precipitation",-15,5.4,-15,"-25 - -4.2","Black-capped Chickadee"
"beta.precipitation_sq",-5.6,3.8,-5.6,"-13 - 1.8","Black-capped Chickadee"
"beta.rivers",-0.71,5.9,0.16,"-12 - 8.8","Black-capped Chickadee"
"beta.rivers_sq",-0.97,4,-0.83,"-9.3 - 6.6","Black-capped Chickadee"
"beta.shrub_scrub",-30,6.2,-30,"-43 - -18","Black-capped Chickadee"
"beta.shrub_scrub_sq",-4.4,6.8,-4.1,"-18 - 8.2","Black-capped Chickadee"
"beta.slope",-8.9,5.9,-8.9,"-20 - 2","Black-capped Chickadee"
"beta.slope_sq",-3.9,6.9,-3.2,"-17 - 8","Black-capped Chickadee"
"beta.time_of_day",-0.095,0.027,-0.095,"-0.15 - -0.041","Black-capped Chickadee"
"beta.woody_wetland",14,3.8,14,"6.7 - 21","Black-capped Chickadee"
"beta.woody_wetland_sq",-11,3.2,-11,"-17 - -5.1","Black-capped Chickadee"
"beta.0",-2.6,0.089,-2.6,"-2.8 - -2.4","Black-chinned Hummingbird"
"beta.aspect",1.6,4.8,1.5,"-7.5 - 11","Black-chinned Hummingbird"
"beta.aspect_sq",-1.4,4.9,-1.2,"-11 - 7.9","Black-chinned Hummingbird"
"beta.barren_land",-7.1,5.9,-6.8,"-20 - 3.3","Black-chinned Hummingbird"
"beta.barren_land_sq",-6,5.8,-5.7,"-18 - 4.4","Black-chinned Hummingbird"
"beta.cultivated_crop",1.7,4.6,1.7,"-7.4 - 11","Black-chinned Hummingbird"
"beta.cultivated_crop_sq",4.5,3.8,4.6,"-3.1 - 12","Black-chinned Hummingbird"
"beta.deciduous_forest",3.7,4.9,4,"-6.9 - 12","Black-chinned Hummingbird"
"beta.deciduous_forest_sq",-7.1,5.5,-6.9,"-18 - 3.3","Black-chinned Hummingbird"
"beta.developed_high_intensity",-9.5,6.7,-10,"-21 - 5.2","Black-chinned Hummingbird"
"beta.developed_high_intensity_sq",-0.07,5.3,0.071,"-11 - 10","Black-chinned Hummingbird"
"beta.developed_low_intensity",3.1,7.1,2.9,"-10 - 16","Black-chinned Hummingbird"
"beta.developed_low_intensity_sq",-16,4.4,-16,"-25 - -7.4","Black-chinned Hummingbird"
"beta.effort_hours",0.54,0.054,0.54,"0.44 - 0.65","Black-chinned Hummingbird"
"beta.elevation",-11,5.7,-11,"-22 - 0.35","Black-chinned Hummingbird"
"beta.elevation_sq",-19,5.7,-19,"-30 - -7.6","Black-chinned Hummingbird"
"beta.emergent_wetland",-6.4,4.7,-6.3,"-16 - 2.9","Black-chinned Hummingbird"
"beta.emergent_wetland_sq",1.2,3.9,1.3,"-6.8 - 8.7","Black-chinned Hummingbird"
"beta.evergreen_forest",6.8,5.2,6.8,"-3.2 - 17","Black-chinned Hummingbird"
"beta.evergreen_forest_sq",-16,4.3,-16,"-24 - -6.6","Black-chinned Hummingbird"
"beta.grassland_herbaceous",-14,4.9,-14,"-23 - -3.8","Black-chinned Hummingbird"
"beta.grassland_herbaceous_sq",-0.82,4.2,-0.72,"-9.2 - 7.1","Black-chinned Hummingbird"
"beta.lakes",-13,6,-13,"-25 - -1.3","Black-chinned Hummingbird"
"beta.lakes_sq",7.7,7.1,7.5,"-6.8 - 22","Black-chinned Hummingbird"
"beta.max_temperature",22,6,22,"11 - 34","Black-chinned Hummingbird"
"beta.max_temperature_sq",-23,5.3,-23,"-34 - -13","Black-chinned Hummingbird"
"beta.mixed_forest",-16,6.2,-16,"-29 - -4.9","Black-chinned Hummingbird"
"beta.mixed_forest_sq",4.5,5.9,4.7,"-7.9 - 15","Black-chinned Hummingbird"
"beta.number_observers",-0.19,0.11,-0.18,"-0.42 - 0.013","Black-chinned Hummingbird"
"beta.ocean",-0.17,6.4,0.19,"-14 - 11","Black-chinned Hummingbird"
"beta.ocean_sq",1.7,8.1,1.5,"-14 - 17","Black-chinned Hummingbird"
"beta.pasture_hay",4.6,4.1,4.8,"-4 - 12","Black-chinned Hummingbird"
"beta.pasture_hay_sq",-8.6,4.3,-8.6,"-17 - -0.3","Black-chinned Hummingbird"
"beta.precipitation",17,4.4,17,"8.8 - 26","Black-chinned Hummingbird"
"beta.precipitation_sq",-13,4.8,-13,"-22 - -3.4","Black-chinned Hummingbird"
"beta.rivers",-7.7,6.5,-7.4,"-21 - 4.2","Black-chinned Hummingbird"
"beta.rivers_sq",-13,6.8,-13,"-26 - 0.45","Black-chinned Hummingbird"
"beta.shrub_scrub",5.3,6,5.4,"-6.7 - 17","Black-chinned Hummingbird"
"beta.shrub_scrub_sq",-14,3.9,-14,"-22 - -6.3","Black-chinned Hummingbird"
"beta.slope",-7,5.5,-7,"-18 - 3.6","Black-chinned Hummingbird"
"beta.slope_sq",-3.4,4.6,-3.4,"-12 - 5.4","Black-chinned Hummingbird"
"beta.time_of_day",0.018,0.065,0.018,"-0.11 - 0.15","Black-chinned Hummingbird"
"beta.woody_wetland",2.2,4.9,2.9,"-8.6 - 10","Black-chinned Hummingbird"
"beta.woody_wetland_sq",-2.5,5,-2.2,"-13 - 6.5","Black-chinned Hummingbird"
"beta.0",-2.7,0.33,-2.6,"-3.4 - -2.1","Black-crested Titmouse"
"beta.aspect",1.9,7.3,1.9,"-12 - 16","Black-crested Titmouse"
"beta.aspect_sq",-12,7.4,-12,"-26 - 3.1","Black-crested Titmouse"
"beta.barren_land",-6,7,-6,"-20 - 7.5","Black-crested Titmouse"
"beta.barren_land_sq",-7.7,6.8,-7.6,"-21 - 5.4","Black-crested Titmouse"
"beta.cultivated_crop",-6.4,6.6,-6.1,"-21 - 5.6","Black-crested Titmouse"
"beta.cultivated_crop_sq",2.1,5.6,2.2,"-9.1 - 13","Black-crested Titmouse"
"beta.deciduous_forest",-13,6.3,-13,"-26 - -1.2","Black-crested Titmouse"
"beta.deciduous_forest_sq",-4.6,6.2,-4.3,"-18 - 6.5","Black-crested Titmouse"
"beta.developed_high_intensity",-11,7.5,-12,"-24 - 6.5","Black-crested Titmouse"
"beta.developed_high_intensity_sq",1.9,5.3,2.1,"-9.1 - 12","Black-crested Titmouse"
"beta.developed_low_intensity",3,6.4,3,"-9.7 - 15","Black-crested Titmouse"
"beta.developed_low_intensity_sq",1.2,5.4,1.6,"-11 - 11","Black-crested Titmouse"
"beta.effort_hours",0.6,0.17,0.6,"0.26 - 0.94","Black-crested Titmouse"
"beta.elevation",-7.2,7.2,-7.1,"-21 - 7","Black-crested Titmouse"
"beta.elevation_sq",-0.38,6,-0.43,"-12 - 11","Black-crested Titmouse"
"beta.emergent_wetland",-7.4,8.3,-7.3,"-24 - 8.7","Black-crested Titmouse"
"beta.emergent_wetland_sq",2,6.9,2,"-12 - 16","Black-crested Titmouse"
"beta.evergreen_forest",12,6.1,12,"0.0093 - 24","Black-crested Titmouse"
"beta.evergreen_forest_sq",-4.7,4.1,-4.6,"-13 - 3.1","Black-crested Titmouse"
"beta.grassland_herbaceous",-8.6,5.6,-8.5,"-20 - 2","Black-crested Titmouse"
"beta.grassland_herbaceous_sq",2.7,6.5,3,"-10 - 15","Black-crested Titmouse"
"beta.lakes",2.2,5.5,2.6,"-9.9 - 12","Black-crested Titmouse"
"beta.lakes_sq",-2.3,6.8,-2.1,"-16 - 10","Black-crested Titmouse"
"beta.max_temperature",-7.3,6.4,-7.3,"-20 - 5.2","Black-crested Titmouse"
"beta.max_temperature_sq",-3,5.9,-2.9,"-15 - 7.8","Black-crested Titmouse"
"beta.mixed_forest",4,5.8,4.2,"-8 - 15","Black-crested Titmouse"
"beta.mixed_forest_sq",-7.9,7,-8.1,"-21 - 6.3","Black-crested Titmouse"
"beta.number_observers",0.074,0.27,0.075,"-0.46 - 0.61","Black-crested Titmouse"
"beta.ocean",-7.9,8.4,-7.7,"-25 - 8.5","Black-crested Titmouse"
"beta.ocean_sq",1.7,8.3,2,"-16 - 17","Black-crested Titmouse"
"beta.pasture_hay",-3.1,6.3,-3.1,"-16 - 9.3","Black-crested Titmouse"
"beta.pasture_hay_sq",1.7,5.4,2,"-9.8 - 12","Black-crested Titmouse"
"beta.precipitation",-0.12,6.1,-0.034,"-12 - 12","Black-crested Titmouse"
"beta.precipitation_sq",-15,6.9,-15,"-30 - -2.4","Black-crested Titmouse"
"beta.rivers",-3.7,7.7,-3.4,"-20 - 10","Black-crested Titmouse"
"beta.rivers_sq",-0.7,6.1,-0.34,"-14 - 10","Black-crested Titmouse"
"beta.shrub_scrub",7.8,6.8,7.8,"-5.7 - 21","Black-crested Titmouse"
"beta.shrub_scrub_sq",1.4,4.9,1.7,"-8.9 - 11","Black-crested Titmouse"
"beta.slope",4.7,5.2,4.7,"-6 - 15","Black-crested Titmouse"
"beta.slope_sq",-6.3,6.5,-6.7,"-18 - 6.8","Black-crested Titmouse"
"beta.time_of_day",0.059,0.18,0.058,"-0.3 - 0.42","Black-crested Titmouse"
"beta.woody_wetland",-6.7,7.7,-6.8,"-22 - 8.5","Black-crested Titmouse"
"beta.woody_wetland_sq",-3.3,7.2,-3.4,"-17 - 10","Black-crested Titmouse"
"beta.0",-4.2,0.12,-4.2,"-4.5 - -4","Black-crowned Night Heron"
"beta.aspect",-15,7.2,-16,"-29 - -0.26","Black-crowned Night Heron"
"beta.aspect_sq",-10,6.1,-10,"-23 - 1.4","Black-crowned Night Heron"
"beta.barren_land",-5.6,6.5,-5.2,"-19 - 6.1","Black-crowned Night Heron"
"beta.barren_land_sq",-1.8,6.1,-1.4,"-15 - 9.2","Black-crowned Night Heron"
"beta.cultivated_crop",2.8,6.8,2.8,"-11 - 16","Black-crowned Night Heron"
"beta.cultivated_crop_sq",-0.45,6,-0.41,"-13 - 11","Black-crowned Night Heron"
"beta.deciduous_forest",-8.4,8,-8.2,"-24 - 6.9","Black-crowned Night Heron"
"beta.deciduous_forest_sq",4.8,7,5,"-9.9 - 18","Black-crowned Night Heron"
"beta.developed_high_intensity",0.22,7.4,0.44,"-14 - 14","Black-crowned Night Heron"
"beta.developed_high_intensity_sq",-1.6,6.5,-1.4,"-15 - 10","Black-crowned Night Heron"
"beta.developed_low_intensity",0.88,8.4,1.4,"-17 - 16","Black-crowned Night Heron"
"beta.developed_low_intensity_sq",6,7.2,6.6,"-9.8 - 18","Black-crowned Night Heron"
"beta.effort_hours",0.18,0.085,0.18,"0.0086 - 0.34","Black-crowned Night Heron"
"beta.elevation",-8.2,7.6,-8.1,"-23 - 6.5","Black-crowned Night Heron"
"beta.elevation_sq",-5.6,7.3,-5.5,"-20 - 8.6","Black-crowned Night Heron"
"beta.emergent_wetland",22,4.7,22,"13 - 31","Black-crowned Night Heron"
"beta.emergent_wetland_sq",-9.6,4.3,-9.5,"-18 - -1.6","Black-crowned Night Heron"
"beta.evergreen_forest",-12,7.9,-12,"-28 - 3.2","Black-crowned Night Heron"
"beta.evergreen_forest_sq",2.1,7.1,2.3,"-12 - 16","Black-crowned Night Heron"
"beta.grassland_herbaceous",4.1,7.7,4.5,"-13 - 18","Black-crowned Night Heron"
"beta.grassland_herbaceous_sq",-1.3,5.9,-1,"-13 - 9.5","Black-crowned Night Heron"
"beta.lakes",-1.9,7.8,-2.1,"-17 - 14","Black-crowned Night Heron"
"beta.lakes_sq",-4.4,6.7,-4.3,"-18 - 8.1","Black-crowned Night Heron"
"beta.max_temperature",6.9,6.5,7,"-5.8 - 20","Black-crowned Night Heron"
"beta.max_temperature_sq",4,6.1,4.1,"-8.2 - 16","Black-crowned Night Heron"
"beta.mixed_forest",-1.6,7.5,-1.5,"-17 - 13","Black-crowned Night Heron"
"beta.mixed_forest_sq",-7.5,7.4,-7.3,"-23 - 6.4","Black-crowned Night Heron"
"beta.number_observers",0.14,0.08,0.15,"-0.027 - 0.28","Black-crowned Night Heron"
"beta.ocean",2.6,7.6,2.7,"-12 - 17","Black-crowned Night Heron"
"beta.ocean_sq",-4.4,5.8,-3.9,"-17 - 6.1","Black-crowned Night Heron"
"beta.pasture_hay",4.1,7.2,4.2,"-10 - 18","Black-crowned Night Heron"
"beta.pasture_hay_sq",-4.8,6.9,-4.6,"-19 - 8.2","Black-crowned Night Heron"
"beta.precipitation",-3.4,7.4,-3.3,"-18 - 11","Black-crowned Night Heron"
"beta.precipitation_sq",1.6,6.4,1.7,"-11 - 14","Black-crowned Night Heron"
"beta.rivers",-4.2,6.3,-3.9,"-17 - 7.6","Black-crowned Night Heron"
"beta.rivers_sq",-3.6,6.6,-3.1,"-17 - 8.2","Black-crowned Night Heron"
"beta.shrub_scrub",-5.4,7.8,-5.3,"-21 - 9.8","Black-crowned Night Heron"
"beta.shrub_scrub_sq",-6.2,7.7,-6.4,"-21 - 9.6","Black-crowned Night Heron"
"beta.slope",-5.5,8.9,-5.5,"-23 - 11","Black-crowned Night Heron"
"beta.slope_sq",0.71,7.3,0.87,"-14 - 15","Black-crowned Night Heron"
"beta.time_of_day",-0.066,0.099,-0.067,"-0.26 - 0.13","Black-crowned Night Heron"
"beta.woody_wetland",-4.1,6.8,-4,"-17 - 9","Black-crowned Night Heron"
"beta.woody_wetland_sq",13,4.2,13,"5 - 22","Black-crowned Night Heron"
"beta.0",-2.6,0.071,-2.6,"-2.7 - -2.4","Black-headed Grosbeak"
"beta.aspect",6.9,5.2,7.6,"-4.9 - 16","Black-headed Grosbeak"
"beta.aspect_sq",2.1,3.9,2.3,"-6 - 9.4","Black-headed Grosbeak"
"beta.barren_land",-7,6.9,-6,"-22 - 4.2","Black-headed Grosbeak"
"beta.barren_land_sq",4.3,5.6,4.8,"-8 - 15","Black-headed Grosbeak"
"beta.cultivated_crop",-3,5.5,-2.9,"-14 - 7.4","Black-headed Grosbeak"
"beta.cultivated_crop_sq",2.4,4.2,2.5,"-6.3 - 10","Black-headed Grosbeak"
"beta.deciduous_forest",5.9,3.7,6,"-1.4 - 13","Black-headed Grosbeak"
"beta.deciduous_forest_sq",-5.3,3.7,-5.2,"-13 - 1.7","Black-headed Grosbeak"
"beta.developed_high_intensity",-20,5.9,-20,"-32 - -8.7","Black-headed Grosbeak"
"beta.developed_high_intensity_sq",4.9,5.2,5.1,"-5.9 - 15","Black-headed Grosbeak"
"beta.developed_low_intensity",6.4,4.8,6.3,"-3.2 - 16","Black-headed Grosbeak"
"beta.developed_low_intensity_sq",-11,5.5,-12,"-21 - 0.38","Black-headed Grosbeak"
"beta.effort_hours",0.34,0.042,0.34,"0.26 - 0.42","Black-headed Grosbeak"
"beta.elevation",-3.6,5.8,-3.6,"-15 - 7.8","Black-headed Grosbeak"
"beta.elevation_sq",-14,4.9,-14,"-24 - -4.5","Black-headed Grosbeak"
"beta.emergent_wetland",-3,6.2,-2.8,"-15 - 8.3","Black-headed Grosbeak"
"beta.emergent_wetland_sq",-6.4,6.8,-5.6,"-22 - 5","Black-headed Grosbeak"
